base_threshold,score_margin,use_plan_mine,use_action_prior,ir,fpr,acc,distance,n
0.05,0.0,True,True,1.0,0.0975,0.95125,0.1935,2400
-0.3,0.05,True,False,0.9633333333333334,0.14166666666666666,0.9108333333333334,0.201,2400
0.0,0.5,True,False,0.9858333333333333,0.1275,0.9291666666666667,0.20933333333333332,2400
-0.05,0.35,True,False,0.9866666666666667,0.1425,0.9220833333333334,0.22516666666666668,2400
-0.3,0.0,True,False,0.965,0.165,0.9,0.22599999999999998,2400
0.05,0.5,True,False,0.9916666666666667,0.14916666666666667,0.92125,0.23683333333333334,2400
-0.2,0.1,True,False,0.9766666666666667,0.1775,0.8995833333333333,0.25016666666666665,2400
-0.1,0.2,True,False,0.9825,0.19,0.89625,0.2685,2400
0.0,0.35,True,False,0.9883333333333333,0.185,0.9016666666666666,0.26933333333333326,2400
-0.2,0.05,True,False,0.9775,0.21166666666666667,0.8829166666666667,0.2851666666666667,2400
0.05,0.35,True,False,0.9933333333333333,0.21916666666666668,0.8870833333333333,0.30849999999999994,2400
-0.05,0.2,True,False,0.9875,0.2275,0.88,0.31100000000000005,2400
-0.2,0.0,True,False,0.9783333333333334,0.24666666666666667,0.8658333333333333,0.32100000000000006,2400
-0.1,0.1,True,False,0.9841666666666666,0.25666666666666665,0.86375,0.33683333333333326,2400
0.0,0.2,True,False,0.99,0.27666666666666667,0.8566666666666667,0.36266666666666664,2400
-0.1,0.05,True,False,0.9858333333333333,0.29833333333333334,0.84375,0.38016666666666665,2400
-0.05,0.1,True,False,0.99,0.3025,0.84375,0.38849999999999996,2400
0.05,0.2,True,False,0.995,0.3258333333333333,0.8345833333333333,0.4168333333333333,2400
-0.1,0.0,True,False,0.9866666666666667,0.3541666666666667,0.81625,0.43683333333333335,2400
-0.05,0.05,True,False,0.9908333333333333,0.3575,0.8166666666666667,0.4443333333333333,2400
0.0,0.1,True,False,0.9925,0.36916666666666664,0.8116666666666666,0.45766666666666667,2400
-0.05,0.0,True,False,0.9925,0.4125,0.79,0.501,2400
0.0,0.05,True,False,0.9941666666666666,0.4241666666666667,0.785,0.5143333333333333,2400
0.05,0.1,True,False,0.9966666666666667,0.43083333333333335,0.7829166666666667,0.5235000000000001,2400
0.0,0.0,True,False,0.9941666666666666,0.4766666666666667,0.75875,0.5668333333333333,2400
0.05,0.05,True,False,0.9966666666666667,0.48083333333333333,0.7579166666666667,0.5735,2400
0.05,0.0,True,False,0.9966666666666667,0.5525,0.7220833333333333,0.6451666666666667,2400
-0.05,0.0,False,False,0.41083333333333333,0.37833333333333335,0.51625,0.8415,2400
0.0,0.05,False,False,0.4091666666666667,0.3775,0.5158333333333334,0.8423333333333334,2400
0.0,0.1,False,False,0.3491666666666667,0.31833333333333336,0.5154166666666666,0.8431666666666667,2400
0.0,0.0,False,False,0.46166666666666667,0.43166666666666664,0.515,0.844,2400
-0.05,0.05,False,False,0.35083333333333333,0.32083333333333336,0.515,0.8440000000000001,2400
-0.1,0.0,False,False,0.35083333333333333,0.32166666666666666,0.5145833333333333,0.8448333333333333,2400
0.05,0.05,False,False,0.46,0.43083333333333335,0.5145833333333333,0.8448333333333333,2400
0.05,0.1,False,False,0.4066666666666667,0.3775,0.5145833333333333,0.8448333333333333,2400
-0.05,0.1,False,False,0.2866666666666667,0.2633333333333333,0.5116666666666667,0.8506666666666667,2400
-0.1,0.05,False,False,0.2866666666666667,0.26416666666666666,0.51125,0.8515,2400
